time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-04T13:29:18.660Z,19.4562,96.4059,50.52,4.5,mb,,113,1.432,0.73,us,us1000h6xu,2018-10-04T13:52:47.040Z,"36km SSE of Pyinmana, Burma",earthquake,8.4,10.6,0.145,14,reviewed,us,us
2018-10-04T09:20:21.090Z,-3.0871,129.9527,26.14,4.6,mb,,105,2.299,1.12,us,us1000h6vz,2018-10-04T10:18:29.040Z,"118km ENE of Amahai, Indonesia",earthquake,6.1,6.6,0.108,26,reviewed,us,us
2018-10-04T04:16:21.000Z,-17.8648,-178.5383,579.32,5.5,mww,,36,3.249,1.05,us,us1000h6th,2018-10-04T19:32:38.040Z,"273km SE of Lambasa, Fiji",earthquake,10.3,6.5,0.069,20,reviewed,us,us
2018-10-04T03:55:17.520Z,-36.1573,52.5161,10,4.8,mb,,86,12.12,0.65,us,us1000h6ta,2018-10-04T04:11:06.040Z,"Southwest Indian Ridge",earthquake,10.5,1.6,0.139,16,reviewed,us,us
2018-10-04T03:41:33.020Z,56.0662,163.8376,11.54,5.1,mb,,73,4.291,1,us,us1000h6t5,2018-10-04T04:05:02.040Z,"86km ESE of Ust'-Kamchatsk Staryy, Russia",earthquake,6.4,3.7,0.029,377,reviewed,us,us
2018-10-03T23:59:42.790Z,-56.1601,-27.1846,75.39,5.2,mb,,61,18.64,0.79,us,us1000h6q0,2018-10-04T00:58:47.040Z,"60km N of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,10.1,5.4,0.092,39,reviewed,us,us
2018-10-03T17:52:48.620Z,56.7542,162.0301,10,4.9,mb,,121,4.217,1.02,us,us1000h6f3,2018-10-03T18:11:45.040Z,"64km NNW of Ust'-Kamchatsk Staryy, Russia",earthquake,6.8,1.8,0.041,186,reviewed,us,us
2018-10-03T15:53:26.160Z,-10.4057,120.1101,10,4.5,mb,,84,2.738,1.1,us,us1000h6b5,2018-10-03T21:43:26.040Z,"25km S of Lailunggi, Indonesia",earthquake,8,1.9,0.115,22,reviewed,us,us
2018-10-03T15:15:32.880Z,35.7894,140.9742,33.59,4.8,mb,,118,2.08,1.32,us,us1000h6ac,2018-10-05T17:56:49.925Z,"14km ENE of Hasaki, Japan",earthquake,6.7,5.2,0.065,74,reviewed,us,us
2018-10-03T12:38:05.120Z,-10.4392,120.1283,10,5.3,mb,,80,2.745,1.2,us,us1000h68e,2018-10-04T21:25:06.040Z,"29km SSW of Nggongi, Indonesia",earthquake,6.3,1.7,0.071,66,reviewed,us,us
2018-10-03T11:53:58.690Z,-10.5748,120.3166,10,4.6,mb,,79,2.702,0.92,us,us1000h67z,2018-10-03T12:17:07.040Z,"43km SSE of Nggongi, Indonesia",earthquake,7,1.9,0.082,44,reviewed,us,us
2018-10-03T09:58:06.080Z,-10.5439,120.2732,10,5,mww,,79,2.71,1.04,us,us1000h66t,2018-10-03T10:17:43.040Z,"38km S of Nggongi Satu, Indonesia",earthquake,5.6,1.8,0.075,17,reviewed,us,us
2018-10-03T07:21:28.370Z,53.5244,158.9335,113,4.6,mb,,115,0.53,0.64,us,us1000h651,2018-10-03T07:58:47.040Z,"52km NE of Yelizovo, Russia",earthquake,10.8,6.6,0.044,157,reviewed,us,us
2018-10-03T05:46:18.690Z,-28.1248,-176.1835,10,4.9,mb,,112,1.896,1.59,us,us1000h63l,2018-10-03T06:17:56.040Z,"210km NE of Raoul Island, New Zealand",earthquake,9.1,1.9,0.099,32,reviewed,us,us
2018-10-03T05:23:24.570Z,-10.3875,160.6499,10,5.3,mb,,64,1.169,1.13,us,us1000h639,2018-10-04T19:05:46.040Z,"130km SE of Honiara, Solomon Islands",earthquake,7.9,1.9,0.08,52,reviewed,us,us
2018-10-03T04:12:58.530Z,53.1858,-168.6393,82.7,4.6,mb,,98,1.83,0.86,us,us1000h62f,2018-10-03T04:52:34.518Z,"31km NNE of Nikolski, Alaska",earthquake,3.2,11.8,0.042,166,reviewed,us,us
2018-10-03T02:54:50.640Z,-21.5319,-65.5635,282.04,4.6,mb,,35,2.805,1.23,us,us1000h61k,2018-10-03T03:19:03.040Z,"18km ESE of Tupiza, Bolivia",earthquake,6.5,6.5,0.036,227,reviewed,us,us
2018-10-02T21:38:40.640Z,-10.8642,109.5086,10,4.5,mb,,169,3.099,0.67,us,us1000h5xr,2018-10-02T22:04:38.040Z,"South of Java, Indonesia",earthquake,8.7,2,0.135,16,reviewed,us,us
2018-10-02T21:06:56.430Z,-1.0381,119.967,13.89,4.8,mb,,69,2.285,0.86,us,us1000h5x5,2018-10-02T21:23:54.040Z,"19km SSE of Palu, Indonesia",earthquake,5.8,5.2,0.088,40,reviewed,us,us
2018-10-02T19:22:39.210Z,-18.0758,-178.4529,543.03,4.8,mb,,114,3.343,0.93,us,us1000h5ud,2018-10-03T14:00:17.040Z,"286km N of Ndoi Island, Fiji",earthquake,12.9,8.2,0.085,47,reviewed,us,us
